EIGEN VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.06E+036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854888299881750000000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4533822018505290000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461642565988790000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4003971377814320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3705645637380690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.03399065237086E-015,3.93880681995058E-019,-4.54283367753357E-018,1.06481422257313E-022,1.14717788989903E-020,1.46149510161585E-021,1.63564353041117E-024,-2.13246711465121E-024,-1.23604688162093E-024,2.39357724956599E-025,3.08522148798242E-021,-2.94156496151934E-021,-4.64612782395739E-021,7.80046923062517E-023,4.92991877617776E-022,5.22392236350952E-021,-8.83765806505993E-023,6.65041328386275E-026,2.48966380190979E-026,-8.00264339202838E-026,1.78435585551018E-028,2.26235788529777E-028,-4.3609403224232E-028,2.75314109732837E-028,-1.58605250274929E-026,1,-3.01719829632808E-065,1.71695175111138E-065,-3.39299752089539E-098,-7.84656460230734E-074,-1.06766414639733E-098
-2.95717199298659E-014,1.61733607683571E-017,2.42778080854417E-017,1.68982959966926E-020,-1.96560347933371E-020,3.87713187620702E-021,-4.75691769599903E-024,2.52922477837024E-024,-3.88258414528675E-024,-3.86752658114189E-024,-1.95990924323692E-020,-5.91487103543566E-020,-2.45287881943416E-020,-8.48347416514295E-022,-7.89403290545026E-022,-3.38697894204615E-021,7.41943062870992E-023,-3.25927288122559E-025,-1.22014883638233E-025,3.92198143156966E-025,1,-1.108749478699E-027,2.13723496028413E-027,-1.34927541305597E-027,7.77301750965393E-026,-1.69719491637004E-044,1.49848483532765E-064,-8.41455457138926E-065,1.22253351393739E-097,3.84558048432893E-073,3.84690879542886E-098
7.22728623924719E-014,-4.08231306043157E-017,-5.99241324225241E-017,-4.17043318244219E-020,4.8943578681396E-020,-7.86173756838865E-021,1.15715413873386E-023,-5.97329777700011E-024,9.52328299636019E-024,9.65917913379152E-024,4.77530140664031E-020,1.05045475275817E-019,6.25176369497502E-020,1.11887534779579E-021,2.00493433265468E-021,7.82311987062007E-021,-1.82446547838185E-022,7.96561662098641E-025,2.98202642663562E-025,-9.58526689150598E-025,-2.79075105342263E-048,-1.47798000440857E-048,1,-4.16750949182751E-044,-1.89971443849109E-025,1.57418732225124E-048,-3.66227586560442E-064,2.05650529240416E-064,1.83746913335738E-092,-9.39854858835613E-073,1.99912801009153E-093
-3.74935365883932E-014,2.03215790484218E-017,3.24104378918531E-017,2.28639806188089E-020,-2.39379402753107E-020,6.35873253450146E-021,-6.19262228642171E-024,3.59089909399118E-024,-4.72598341304985E-024,-5.74016429106533E-024,-3.31196246532239E-020,-3.16077132281891E-020,-3.35753329106231E-020,-4.82661452511773E-022,-1.02729323628113E-021,-3.91822371325359E-021,1.61048136090661E-022,-4.1323829432081E-025,-1.54700831322422E-025,4.97262112541892E-025,-1.1925901641443E-044,1,2.7097679822271E-027,-1.71072595257444E-027,9.85529175894157E-026,-1.34762948032662E-044,1.89990692413403E-064,-1.06686890366525E-064,-9.00738094033226E-093,4.87575465403543E-073,-9.79984199625534E-094
2.62852813889835E-012,-1.06050506193156E-015,-2.47105584948753E-015,-5.30172681840757E-019,4.92106347911989E-018,1.26885479325883E-018,1.03446558990855E-021,-8.84500371606503E-022,-3.26357010508186E-022,3.59241444730106E-023,4.96378370297347E-019,2.41073890813524E-017,-1.10483680040855E-018,-2.6592391858552E-019,2.16641709657567E-019,1.74699556516719E-018,-1.70924336108357E-020,2.89705529461622E-023,1.08454822662823E-023,-3.48611411726162E-023,1.22819308097998E-054,1.42198778472978E-054,-2.85644828773512E-054,2.05037130023944E-054,1,-3.80276660682263E-055,1.75854922941563E-068,-6.88741486993626E-069,-5.01596966414456E-089,2.92014597308838E-071,-1.58281357881502E-089
-4.12606263500951E-012,2.00777214409191E-015,3.39857185486018E-015,2.13092973620533E-018,-3.24632948478433E-018,3.71577008387253E-019,-6.89486230140309E-022,4.22001329535741E-022,-4.23334107483936E-022,-4.97838091617395E-022,-2.87328891968533E-018,-1.94994957267441E-018,-2.97800183707268E-018,-1.09698102420813E-019,-1.36041701380233E-019,-7.65795267095029E-019,1.57559144925073E-020,-4.54757578151112E-023,1,5.47223522058024E-023,-1.24922960518981E-054,-1.46744936075476E-054,2.86122775751259E-054,-1.81084022903332E-054,7.37107712687277E-035,1.3794658822404E-055,-8.17628083327159E-068,3.06727139672428E-068,2.07899211752652E-088,-4.5837609453157E-071,6.5626066556129E-089
-1.10215773000694E-011,4.68374253709613E-015,8.86679267962692E-015,4.23209882889371E-018,-1.11524117766631E-017,-4.95140771544477E-019,-2.28133468608888E-021,1.6113541546236E-021,-4.60913730078092E-022,-8.21628245373154E-022,-5.37997296124396E-018,-1.4638566714805E-017,-4.82850189619304E-018,-3.32860485888767E-019,-4.8044556109948E-019,-3.42086191514379E-018,4.56088464163219E-020,1,-1.146603076561E-039,1.46174856224178E-022,-3.33137699590705E-054,-3.91312338679344E-054,7.64132892583563E-054,-4.82736187490259E-054,1.95945517828857E-039,3.68481321286378E-055,-2.21541414506484E-067,8.33037640975394E-068,5.31125741212706E-088,-1.2244228726508E-070,1.67653220218704E-088
1.32625970825718E-011,-4.64961782215081E-015,-1.07706169469816E-014,-4.90817945965706E-018,1.48797616967927E-017,4.53735193390209E-019,2.72128333832868E-021,-2.33583291364433E-021,1.7801851606434E-022,1.23689909111039E-021,8.03778480782656E-018,1.57997793418841E-017,3.85076822974051E-018,1.02332222097041E-019,6.34228024433192E-019,4.99251840523624E-018,-8.88961316156431E-020,3.76919036692034E-039,1.37974182746011E-039,1,4.00145936446264E-054,4.69997139429611E-054,-9.1810783766317E-054,5.79613218244611E-054,3.83211317623112E-049,-4.43401369031695E-055,2.59310140413587E-067,-9.77927889624718E-068,-5.81285439504098E-088,1.47338872471787E-070,-1.83481356526035E-088
0.9999948346,-0.0031015819,-0.0008290252,-3.31082729220859E-007,9.33870908593789E-007,1.97282796181973E-006,0.000000001,-2.57639296617889E-010,1.88967482847031E-010,-1.7167761146955E-010,-7.14973234901877E-006,0.0001535811,-9.24361462816225E-007,-5.59683731844751E-007,-1.21489116794291E-008,-2.5823030104123E-008,7.73720815932105E-008,1.10215422494344E-011,4.12605036736988E-012,-1.32625519288549E-011,2.95716374794872E-014,3.74934328226645E-014,-7.22726653861963E-014,4.56270567682285E-014,-2.62851990306423E-012,-6.03396202851752E-015,-5.30583858817742E-051,2.96897477397589E-051,3.38497780902117E-087,-4.71756350554664E-058,1.06514060820438E-087
0.0014710219,0.2171086721,0.9740170085,0.0006161842,-0.0027331932,0.0008290927,-6.04282975280638E-008,3.55628246443755E-007,4.66130390725747E-007,-4.89360843772805E-007,-0.0087274325,0.0637523982,0.0018333532,9.21344097347507E-005,-0.0001767488,0.000212015,8.97442683512091E-005,6.56055653948352E-015,2.32345124868795E-015,-8.01023592161949E-015,1.63458503924108E-017,1.91752075196942E-017,-3.90910125328892E-017,2.41227018558668E-017,-1.23104527209956E-015,-4.53659791131233E-018,4.17612282663065E-022,-1.85533473684742E-022,-5.38842855008949E-081,1.19088258660056E-058,-2.76361313171269E-081
-1.08187923444579E-006,-0.002275082,0.0015792766,-0.061360058,-0.6151121728,0.3183601497,0.0002444801,-1.96592854741789E-005,-1.02268427033836E-005,-0.0002368145,0.4027676244,-0.0083620945,0.5924357391,0.0516915233,-0.0151064177,0.0068847494,0.0170757323,-1.67761363025745E-017,-4.33388289245044E-018,2.4072018647438E-017,-2.38418096868982E-020,-2.78611268328434E-020,5.45300503834692E-020,-4.73672174126588E-020,7.58550714733384E-018,2.26504993205178E-020,-5.1863380009983E-025,3.06470553507157E-025,2.2840254919312E-092,1.58859894744341E-028,2.48504681036398E-093
1.07755782849605E-006,0.0007838606,0.001524001,-0.4363891309,0.6673833916,0.4795135054,0.0002746863,-0.0001475887,-5.79594501435402E-005,-0.0001717699,0.1697062958,0.015558607,0.2710024669,0.0314356379,0.0356695228,0.1716901256,0.0022401891,7.28332200817091E-018,2.07586020630427E-018,-1.00583460589204E-017,1.23512745125618E-020,1.39184611784958E-020,-2.97779597314772E-020,2.56090028270554E-020,-2.81841636336273E-018,-8.33329050126242E-021,3.35725034424241E-025,-1.45444494657767E-025,2.35763145143461E-085,-7.6999471586326E-029,2.56513096683856E-086
1.68110729597384E-006,0.0009759714,0.0004123409,0.6705637603,0.1398957462,0.1651377272,-0.0037215497,0.0041783687,0.0030521876,-0.0002947437,0.2484256728,0.0220661678,-0.0855735391,0.4164897289,0.0863072383,0.4913054015,0.1079000845,1.22073633081183E-017,3.47327177595453E-018,-1.67385929808279E-017,2.08484781934892E-020,2.50496157398877E-020,-4.78243966408683E-020,3.64695577394905E-020,-4.42156920621507E-018,-1.43037578519344E-020,4.7482749916796E-025,-2.49065905359906E-025,-1.17688102171089E-088,-1.21822961548561E-028,-3.70325549523119E-089
-7.01525167004879E-007,-0.0004343828,-0.0001892315,-0.3400368079,-0.0541990687,-0.1810564684,0.0032846866,-0.0040419051,-0.0027162397,0.0009391532,-0.0783782564,-0.0043124006,-0.0261153675,0.8151167248,-0.314000592,-0.1161901943,0.2554697761,-4.17407641134562E-018,-1.12103931800579E-018,5.98304542276713E-018,-6.14369939503351E-021,-7.74828310483725E-021,1.51786379557714E-020,-1.41050363428486E-020,1.8380248814162E-018,5.29556352889173E-021,-1.54090304164467E-025,8.65266616389478E-026,7.3786033792554E-079,4.26919583927859E-029,-1.44756001921497E-079
3.20325070150382E-007,0.0001442452,0.0001432716,0.0612501551,0.0472548965,0.0612685245,0.0850190327,-0.3730759962,0.3357798326,-0.0616584479,0.0169386943,0.0028682762,0.0130157736,0.3213774773,0.5519730852,-0.4054664767,-0.3930296868,1.08255735495758E-018,4.4465559595723E-019,-1.0911272397082E-018,3.50512358397317E-021,4.0650210342404E-021,-8.24924170846781E-021,4.604817961445E-021,-8.75926530798564E-021,-1.74608972178321E-022,9.61864581354789E-026,-3.4884594804147E-026,2.20529972970455E-083,-1.22706442289328E-029,6.94E-084
