EIGEN VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.57E+038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191685041695270000000000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30618874035720900000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283750070490860000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7679554554034840000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592562632564009000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10562183541997200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4852367583425790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045784958090710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.03488286025498E-015,6.22855815366152E-018,2.0475077472232E-017,-5.02955549343243E-021,5.81116453216065E-021,-8.95897142600797E-023,2.13574894234971E-024,-9.4309822010857E-024,-1.23829150888837E-023,1.54782799709448E-023,-6.00689959314757E-021,2.86013432325358E-020,-2.51514109196558E-020,7.14635008844095E-023,3.56171052674596E-022,2.07711979199535E-022,-8.85187808567305E-022,3.72093077103775E-027,-4.35654232553563E-028,-4.06068758342918E-027,1.16509365536811E-028,1,1.64734677643957E-062,-2.13986389953218E-028,2.90328629640883E-028,-2.10016122057432E-034,-5.00004307335521E-066,-4.82829373450174E-066,1.035715381963E-083,5.51458396167267E-069,-1.34458641946286E-091
-2.36843733581725E-014,2.36396536898023E-017,3.43732764167613E-017,-8.32889539645647E-021,1.25234682264622E-020,-3.96200506077564E-021,3.56119315526226E-024,-1.93932447704689E-023,-2.51670836133402E-023,3.16325884968686E-023,9.44520319408782E-022,1.96951302062817E-019,-5.51310375007935E-020,1.88884604097182E-022,8.12301712098611E-022,3.41532835937632E-022,-2.38858939520526E-021,9.7545248216399E-027,-1.14201254504681E-027,-1.06449350016055E-026,2.92306901286064E-033,-6.34924950173581E-043,-1.09134994353149E-046,1,7.61314996945473E-028,3.97636486529742E-034,-1.31072720785E-065,-1.26570251992413E-065,2.71505899906441E-083,1.44560558696632E-068,-3.52474388400574E-091
1.95674375225597E-015,-1.46447601201052E-017,4.06613668562943E-017,-1.01079339201724E-020,5.64601927592966E-021,7.14213938442743E-021,4.09543048703056E-024,-1.11907983738605E-023,-1.58996191331787E-023,1.94630812861268E-023,-3.31836500696945E-020,-2.61989878120752E-019,-2.55266012643588E-020,-2.65705545763092E-024,3.01484814654042E-022,4.42254390633127E-022,8.30791477148001E-023,-8.06642133134008E-028,9.42895581472935E-029,8.79675211204537E-028,-2.52472378304065E-029,1.76784192829628E-029,-4.53440150486442E-030,4.63428005409668E-029,-6.34198445008572E-029,1,3.00824263383712E-065,3.54715308124472E-065,-2.24304730595773E-084,7.02604889132804E-068,-2.73529753569646E-093
1.28960648617753E-014,-1.0641643504049E-016,2.79984907003539E-016,-6.83499258597043E-020,3.54724700795531E-020,4.88865298016652E-020,2.7686258309063E-023,-7.41168849965362E-023,-1.06296593273912E-022,1.29489055755354E-022,-2.27350561139201E-019,-1.74972064407475E-018,-1.5914457130724E-019,-6.18915883695483E-023,1.98631326180649E-021,3.13750872095588E-021,7.90346878995577E-022,-5.31647413074218E-027,6.2140359058882E-028,5.79763690082574E-027,1,2.28349056045329E-043,1.24312350197376E-051,3.05425183952781E-028,-4.18137427606602E-028,1.96208229203759E-048,7.13647999829752E-066,6.89105430766974E-066,-1.47829086386127E-083,-7.87011204881481E-069,1.91914675982525E-091
-4.82163962266204E-014,-3.12409825889564E-016,1.30337551507623E-015,-3.26903913011289E-019,2.18076248698341E-019,1.75846411766927E-019,1.32857893083772E-022,-4.058246758712E-022,-5.65611761388704E-022,6.93602455090913E-022,-9.20109641686214E-019,-6.36539890715726E-018,-9.60221053613283E-019,8.03460058384324E-022,1.23780520491019E-020,1.42919024847384E-020,-8.99542150035652E-021,1.98369560522981E-026,1,-2.16646840278335E-026,-5.14439103368144E-047,9.12511390537695E-049,-1.90464858784885E-061,5.73827053861107E-048,-1.47061790581658E-029,-7.34642811726803E-048,-2.66852782280225E-065,-2.57697930246223E-065,6.14936069259011E-083,2.94342574082017E-068,3.45808540973739E-086
-4.49454256081192E-013,1.90881198608622E-015,-4.43765220450876E-015,1.1337728676263E-018,-5.7145054697766E-019,-8.44660171136079E-019,-4.50814671309501E-022,1.1580720111342E-021,1.66721555405317E-021,-2.02940935963816E-021,3.81688938464009E-018,3.19940434923613E-017,2.56074071608754E-018,1.59783484538436E-021,-2.97788337035727E-020,-5.07859923095191E-020,-2.90069844166295E-020,9.29081622057358E-029,1.99897896611414E-040,1,-4.79514222432864E-046,8.50561663827171E-048,2.13622374740527E-060,5.34870357501656E-047,6.26328108719914E-029,-6.84768451932968E-047,-3.60423475469822E-064,-3.73944256503268E-064,4.89114634375225E-082,-1.56557882643501E-071,-1.45162974672817E-085
3.2157104602253E-014,-3.16297344927183E-015,1.10742335729918E-014,-2.69342367523099E-018,1.70142240224739E-018,1.89731739066642E-018,1.10863330427719E-021,-3.19918423768786E-021,-4.54318360402313E-021,5.53746349547065E-021,-8.37127092903824E-018,-6.09841326376262E-017,-8.3397423788363E-018,3.9736620911971E-021,9.35982075448873E-020,1.20869799123272E-019,-1.96786485810954E-020,-1.34346106969358E-026,1.54978344170237E-027,1.44456978445929E-026,3.42912128399463E-047,-6.08257058488907E-049,-2.67045494257666E-060,-3.82498629039214E-048,1,4.89694353842233E-048,1.77809669140805E-065,1.71593817033976E-065,2.0293270045652E-083,-1.95846209001604E-068,3.17741431108733E-085
4.11872489048154E-013,-5.16091816615617E-015,1.56809290305861E-014,-3.86390766563975E-018,2.29967950004719E-018,2.66146543639423E-018,1.57823358451218E-021,-4.3912348009233E-021,-6.21892953375909E-021,7.57089441357742E-021,-1.22216313602138E-017,-9.27614266549828E-017,-1.04651748155304E-017,1.83037532852382E-021,1.22531714907092E-019,1.72609349931823E-019,1.02005995150612E-020,1,2.26639098694633E-041,1.85104375784193E-025,4.39400963189247E-046,-7.79408820112265E-048,-4.65778031361491E-060,-4.90126338844908E-047,5.48064779644753E-041,6.27484865442144E-047,3.30266465853576E-064,3.42645276921565E-064,-3.88876405105302E-082,4.90162842181326E-071,4.62903927669398E-085
-0.0010681535,0.856652047,-0.5158908345,1.84242554628275E-005,0.0002345854,-0.0001586155,-3.56947790483213E-008,-2.75804435039179E-008,3.80926375173483E-009,2.92287605900788E-008,0.0007176972,0.0007352717,-0.0012805275,5.40373261137292E-006,0.000009242,-5.90148742011673E-006,-1.28492577411445E-005,1.29507652399013E-014,8.88527580869353E-016,-4.40464093139781E-015,2.49379727502039E-016,-4.42349415359652E-018,9.51211062396725E-019,-2.78168650194489E-017,8.45705212257515E-015,3.56125766361306E-017,5.80392141136526E-021,6.98641859052452E-021,4.90426937673252E-087,1.41000641256085E-023,-3.45603559851185E-095
0.0008948821,0.5152071504,0.8555886592,0.0004618231,-0.0003268317,-2.83037139844768E-005,-0.000000069,1.09416707728089E-007,-4.74094326285465E-007,1.11943446638773E-007,0.0006070001,0.050277673,-0.0005496144,-0.000004351,2.76379611094974E-006,4.24063279497021E-005,3.8871744705551E-007,-1.11213923318552E-014,-9.10729247266715E-016,3.21396966830449E-015,-1.96177794044929E-016,-1.26435305732584E-017,3.46805324711144E-018,-2.04039070281291E-017,-7.87111044855111E-015,-2.89821891787288E-017,-4.76526180092216E-021,-5.6279068387584E-021,1.97857605935266E-074,-1.17538115922026E-023,8.53977588923155E-077
-3.85872092172677E-005,-0.0265128741,-0.0422869289,-0.0339397324,-0.0057086519,0.0399052815,-1.28662366877547E-006,-3.0259297496479E-006,-4.26684123044328E-005,4.77239272567396E-005,0.0427157107,0.9898159002,-0.1145645777,0.0002025063,0.0023776496,0.0063822746,0.0005776267,6.33074802071939E-016,5.11852151292104E-017,-1.85858325256847E-016,1.12352065904144E-017,6.51263643206191E-019,-1.80333635102029E-019,9.65023793133139E-019,4.45283476058303E-016,1.66389026930343E-018,2.71869801063538E-022,3.22668877000466E-022,-6.1193964131801E-077,6.69480836980779E-025,3.53152435295196E-083
-4.82717281628572E-006,-0.0016268861,-0.0048592485,-0.1613992491,-0.1120848304,-0.1919038119,1.8939121700493E-006,-4.38022819625781E-005,-0.0001635011,0.000221598,0.037147666,0.1099693675,0.9541576468,-0.0004905965,0.0066879191,0.0241940316,-0.0036766033,9.05697439737067E-017,7.24776757771413E-018,-2.67731635686349E-017,1.60459001682217E-018,8.69017364154862E-020,-2.50718958255084E-020,1.21345449433697E-019,6.39131383811314E-017,2.37963431280636E-019,3.90266411982992E-023,4.63133478137618E-023,1.60504451544173E-071,9.57016789711145E-026,-9.97867046718799E-086
1.5597124187255E-006,0.0012737374,0.001050757,-0.4702885989,-0.0533497075,0.7882970908,-9.34536138039275E-005,0.0009000665,0.0006891911,-0.0009418534,-0.3773797163,-0.0209131818,0.091320501,0.0076868442,-0.0006738869,-0.0573036509,0.0054530808,-1.99246115337727E-017,-1.56891519629278E-018,5.97402230376533E-018,-3.55231503211034E-019,-1.66961996691447E-020,4.74455556403483E-021,-1.98718118907777E-020,-1.3995105510003E-017,-5.28517774756552E-020,-8.60440846142942E-024,-1.02322033617727E-023,-2.1838479021853E-071,-2.12103113289744E-026,-3.31818283742063E-082
-5.87201353862771E-008,-1.0475572166457E-005,-0.00004187,0.0392685946,-0.048608685,-0.0001096735,-0.0027140315,0.0074316255,0.0132739814,-0.0074989194,-0.0288356884,0.0005149781,-0.0030061932,0.4017562244,0.8558529672,-0.0786882334,-0.3080180665,4.65674556690304E-019,3.3237855146414E-020,-1.51441436773922E-019,8.46412351356137E-021,1.89293762766979E-023,-1.47850492465663E-023,-4.87674101495432E-022,3.0792967757334E-019,1.24132071312349E-021,2.06683258645475E-025,2.47023022867763E-025,4.99437013424552E-076,5.09984428964792E-028,-6.90969415459624E-079
-1.68806240883015E-008,-1.31897182422545E-005,-6.20922019439275E-006,-0.010605535,-0.0027776221,-0.0028198893,0.1094672331,-0.1339616423,-0.2688629518,0.1402031268,-0.0035671459,0.0003316717,-0.0035532613,0.5148023723,-0.4552949417,0.074943182,-0.6324886939,4.01345591975397E-021,-5.64659105737676E-021,-1.77907067605505E-020,4.09210355624987E-022,-5.58024263280834E-022,1.45783997274697E-022,-1.47508565262806E-021,-1.3654262482108E-020,4.78736999658978E-023,8.9467620350418E-027,1.61600791058528E-026,6.20030737421477E-036,1.81040746220765E-029,-8.74E-078
