EIGEN VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1.272874357446197e+36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55342256427472100000000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162499969897737000000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153497976205848000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342153792948593000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337995248608149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.12820237530296E-025,-1.64787854377412E-022,6.51994587352696E-023,-6.55303013208977E-025,3.04012416481347E-025,-1.14772967012008E-025,2.41761635066375E-028,2.59522657275031E-028,7.16736320480808E-029,-6.16929854429198E-029,7.43684187492883E-025,5.05077566137951E-024,-1.00140644885239E-026,-2.23582986898246E-026,1.43599213360844E-026,-1.09304746525923E-026,-6.61045912249924E-028,1.41504846722364E-036,-2.36267238299958E-037,1.49866621709168E-036,1.26392604129111E-039,-3.46602338029424E-039,6.13509412549544E-040,8.0006588930342E-039,2.60260864683101E-036,8.02645070116492E-040,1,7.47936219539277E-044,5.12990739510548E-100,1.89676687720967E-081,1.59409849419998E-100
1.41328554346086E-024,2.9382490628745E-022,-5.40184361847393E-022,7.32269657794466E-025,-5.26531065154973E-025,-1.23547991855031E-025,-4.41053674800376E-028,-3.31580815015745E-029,-1.73007765476285E-028,2.54458653107802E-029,1.90133703497225E-024,1.5244733158743E-024,5.10002077927864E-025,6.7403375858423E-026,-1.97373622433001E-026,5.2185588063238E-026,-6.06528670460797E-027,-4.84797777897531E-036,9.18282610573415E-037,-5.47667230236425E-036,-1.22730257909441E-039,1.15189546963727E-038,-1.76130394285982E-039,-1.95924862869305E-038,-8.49586130247118E-036,-4.03783998746163E-039,8.83712613465572E-045,1,3.57011744929689E-100,-5.23534835129848E-081,1.09847212657815E-100
1.96439656878703E-015,3.43939103519785E-018,4.7389562541635E-018,-3.78214803198656E-022,-6.37853025730293E-022,-1.24828531942667E-021,2.03369342632891E-024,-4.25026362184492E-024,-4.5795728727562E-025,1.02616481275483E-024,1.95013773529753E-021,2.46913587232586E-019,6.52637077959448E-022,-3.77296983071477E-022,6.16021143538874E-023,-4.23758779637415E-022,1.11068025902709E-023,-6.03686225880886E-027,1.18701706287796E-027,-4.72648409793926E-027,1,1.06519588371239E-029,-2.62780079763922E-036,-3.73482926293533E-029,-7.33150945552563E-027,-6.62169526033935E-036,-4.57705937610045E-067,-5.54381392282377E-067,-2.1594835549685E-085,-3.83489646446671E-075,-3.41579491556854E-086
1.9012591495035E-014,-6.7495548371176E-018,9.80011552748404E-018,4.46817742796997E-021,-3.10149224384717E-021,8.71219067525446E-021,-7.05210768327153E-024,-1.41083086426259E-023,8.95046512217718E-024,1.29916172978961E-024,-7.70618241247841E-020,-3.48855913595278E-019,-6.603679911069E-021,-5.69862271615377E-022,-4.581441928628E-022,-6.66709992956034E-022,2.43182136485572E-022,-5.84284581750047E-026,1.14886947562689E-026,-4.57458393903469E-026,-8.90143909380979E-039,-1.91073519135666E-046,1.10449142419797E-046,1,-7.09587596560867E-026,2.71990257250781E-047,-4.4040619808568E-066,-5.32425578491847E-066,-1.87872443677383E-085,-3.68433941367487E-074,-2.97171379923464E-086
3.73220144364729E-012,2.32298423658107E-015,-4.69924245398989E-015,2.50943112127551E-018,-1.42562980968835E-018,-2.5300954223202E-018,-3.34447063843561E-021,1.2616315869983E-021,-3.70823887934933E-021,4.28373862904677E-022,1.24161112982502E-017,1.02969996921761E-016,6.86847430170653E-018,6.22845761658542E-019,-1.82935672201952E-019,2.48089763267989E-019,-9.49848289717937E-020,4.14805098777954E-043,2.31378014130789E-043,-2.07573644540501E-033,-7.11526222172306E-056,1.59447053266833E-056,-1.09972102639504E-056,-7.28671802859276E-056,1,9.38146581093436E-058,3.54570576227495E-066,3.18601106250572E-065,-3.33178674875065E-082,-1.00106242028842E-072,-9.15032119754052E-083
2.4060832136833E-012,1.13163351629279E-016,-3.78164994504859E-015,-2.16693627470228E-018,-6.13743265967109E-019,-1.35224687291232E-018,1.10951833506406E-022,2.75015207212942E-021,-3.2275782194274E-021,1.5148835094355E-022,1.18532678817686E-017,8.34110573876938E-017,5.19109530537974E-018,5.3385066684314E-019,-1.68289248820958E-019,4.04396749607637E-019,-5.11775305922417E-020,-7.39418707562251E-024,2.40770612160731E-052,1,-5.44589224311893E-054,1.52127321880927E-054,-9.87870499681975E-055,-4.99098913796627E-054,-8.98000528410622E-024,7.18825769991074E-056,2.28574424794986E-066,2.05396061763702E-065,-3.78186833924127E-083,-6.3276182414293E-073,-5.98214166857938E-084
-0.0020860608,-0.3762202551,0.9265225192,-0.0026099663,0.0011609606,-0.000486057,1.02540910313845E-006,1.86183015576943E-007,4.50129668952403E-007,-1.46384353572694E-007,0.0009957476,-0.0007375109,0.0001169188,-0.0001475267,6.86684630370203E-005,-0.0001337478,6.38528397956488E-007,7.49528358570299E-015,-1.45108101408581E-015,8.56563774874515E-015,1.00124871397894E-018,-1.77073758987945E-017,2.6245235184351E-018,2.80419147913391E-017,1.30135767663344E-014,6.61343696914899E-018,-1.22405504282278E-022,6.11040457295648E-022,-1.04665152062669E-091,7.72217027933197E-060,-3.71857606205064E-110
4.21902484173167E-005,0.0221402057,0.01043404,0.0671300068,0.0388406407,0.0542123484,3.65269636536658E-006,-1.33608970461776E-005,7.4845905283366E-005,-3.2241570693293E-006,-0.5841827704,0.7787358146,-0.2066769217,0.0026678527,-0.0040269497,0.0027502435,0.0013026831,-1.06415225794747E-016,1.45615233709085E-017,-1.21279178997085E-016,-3.99359752691162E-019,1.52212099126968E-019,-8.8408546312006E-020,-5.30331248582588E-019,-2.31354242287886E-016,-6.44548061985629E-020,-4.94124244592851E-025,-8.62529797210301E-025,7.27668987659482E-078,-3.6896615451024E-060,-4.83399631072729E-082
-8.19182459968221E-006,-0.0014249458,-0.0020796378,-0.3416434249,0.168771299,-0.1678508842,0.0001275967,5.73030329547157E-006,-2.64136260577657E-005,-3.89876593303999E-006,0.6064348501,0.5803546509,0.3484934577,-0.0128167698,0.0062220972,-0.0195943025,-0.0025234997,-1.15174612419155E-017,4.77072076804236E-018,-4.62463205576795E-017,-1.14103853189229E-019,-3.97227366232151E-020,-3.58827077108623E-020,4.21500635819952E-019,-4.4884353409736E-017,-8.07301930500072E-020,-3.77301908232129E-024,-2.59990148813757E-024,1.34599318702488E-076,-1.1166833978852E-026,4.22502465034095E-077
8.27529278596999E-006,0.0035484898,0.00399188,0.7216489687,-0.5721399191,-0.1705050065,-6.09991542145744E-005,-0.0006658413,0.0002305392,0.000110753,0.2287495605,0.1966391761,0.1773930241,0.0143970832,-0.0094386219,-0.004323038,0.0010089954,-2.87734584342356E-017,4.2498199970308E-018,-2.42763012830332E-017,-9.67933701759167E-020,2.7083978145948E-020,-1.75801226653904E-020,-8.86196060665356E-020,-4.77433744064255E-017,1.27762723076764E-021,-2.09359487080207E-025,-5.6314885310011E-025,7.10574692202389E-080,1.03847876560956E-027,1.12396781846702E-080
8.383861298332E-007,0.0004075928,0.0003033286,0.1242850932,0.0924966905,0.2529059827,0.0023606988,-0.0042976782,0.0010303913,0.000826342,0.0494383189,0.0190643168,0.0325027515,-0.6615486149,0.6402777786,-0.23664795,0.067391511,-2.43353166320224E-018,3.43096019482305E-019,-2.03301227929817E-018,-9.27950965155013E-021,1.9626467591929E-021,-1.6133204601722E-021,-8.21601927846407E-021,-4.39641389141719E-018,1.87046766700085E-022,-2.95167011513415E-026,-3.66215339776003E-026,1.10573296175286E-098,1.02854317617626E-029,7.34146706274019E-100
-0.000000745,-0.000354925,-0.0003419555,-0.1206961708,-0.120242021,-0.2798123144,0.000787853,0.0062035735,-0.0028076456,-0.0007374468,-0.0589711083,-0.0161616619,-0.0283904449,0.0339776831,0.4945293302,0.799360094,-0.058279287,2.24639976950224E-018,-3.03436506285916E-019,1.75906038984759E-018,8.27889088196567E-021,-1.62148720005905E-021,1.36084785496865E-021,8.14712596149512E-021,3.87831152236633E-018,-1.17215512299217E-022,1.67112189344646E-026,2.67117480924747E-026,-2.83192912079376E-079,-1.36788887888085E-029,-2.33076816510833E-079
-1.31895918735337E-007,-5.99931277221811E-005,-7.445425730818E-005,-0.028007782,-0.0277628504,-0.0425881066,-0.1166610744,0.5009669246,-0.4623910357,0.0886546259,-0.0081987663,-0.0028188248,-0.0082593211,0.0637023727,0.0244438872,0.0044263143,0.7110343056,4.03490815377009E-019,-5.53893425156674E-020,2.84274374049231E-019,1.47276375222506E-021,-3.15012936224789E-022,2.30768740187942E-022,1.46058148943132E-021,6.8193822356934E-019,-1.41558032229338E-023,1.94718471506423E-027,2.28956301898387E-027,-1.31541631555751E-079,-2.37561987443246E-030,-2.08E-080
